Session,Speaker,Language,Duration,Offline,Online
SAS Viya Visual Manager – Visually Manage SAS Viya Deployment on Kubernetes,Zhiming Liu,ENGLISH,25,6,55
The Road to Efficiency: How Our Team Transformed Our Pipeline with DevOps,Han Liu,ENGLISH,50,15,64
VS Code SAS Extension and Its Development,Wei Wu,CHINESE,25,6,31
Add Azure AD Authentication to COMSAT,Hongji Shen,ENGLISH,25,5,42
BTL Gandalf Auto Playpen Testing,Asher (Xinghua) Li,ENGLISH,25,5,25
JEST best practices in Intelligent Decisioning,Susan (Jingxian) Wang,CHINESE,25,6,29
Viya 4 Log Streaming,Bob (Jingbo) Wu,ENGLISH,25,5,38
Deployable Unit’s Journey in Viya 4 Pipeline,Michelle (Min) Xie,CHINESE,50,7,39
A deep dive into ChatGPT,Isaac (Kai) Zheng,ENGLISH,50,9,74
Customized High-Performance Implementation of Scrollable Paginated Tables,Andrew(Yunsong) Zhang,CHINESE,25,14,20
A Practical Approach to Automate Performance Test in Decisioning Products,Lisa (Lingling) Liu,ENGLISH,25,14,33
How to Create a Simple SAS Decision Scoring App and Deploy it in Azure in a Few Minutes,Bogdan Teleuca,ENGLISH,25,0,32
SAS Viya and DevOps: Empowering Seamless Data Engineering,Bogdan Teleuca,ENGLISH,25,0,40
Security: Configure IWA and Kerberos Delegation,Rhein (Fang) Meng,ENGLISH,25,9,25
To Unlock the Power of DevOps with SAS Viya You Need This Key First,Bogdan Teleuca,ENGLISH,25,0,16
How to investigate promotion failure ticket of DevOps Test Automation?,Rain (Xiaoyu) Kang,ENGLISH,25,3,25
Security Scan & Audit in CI/CD Pipeline,Lei Wang,CHINESE,25,3,5
GitHub Exploring,Ellen (Qing) Zhang,ENGLISH,50,9,45

